Dataset,CNN,Margin,Cross Entropy,Ordinal
Complete Dataset,821.2697687149048,49.00656318664551,34.4889440536499,21.403822898864746
No bias Dataset,797.1955261230469,27.225660800933838,43.25613498687744,38.303526878356934
Training Dataset 0,857.9095865885416,92.82388051350911,39.78842735290527,56.73265393575033
Training Dataset 1,526.4535929361979,26.888079325358074,24.116864522298176,18.80413881937663
Training Dataset 2,445.0390803019206,16.59605312347412,19.478418668111164,20.852178891499836
Training Dataset 3,557.787831624349,24.855714480082195,20.10776964823405,37.69661013285319
Training Dataset 4,254.2445271809896,16.37642526626587,17.94180711110433,13.096576372782389
Training Dataset 5,751.8844095865885,25.452803293863933,31.599177678426106,28.362704118092854
Training Dataset 6,174.78260803222656,20.229223251342773,15.527681986490885,11.39546505610148
Training Dataset 7,597.4313354492188,31.262823740641277,32.87316481272379,44.965065002441406
Training Dataset 8,290.668519337972,22.057987848917644,12.46293306350708,14.10504118601481
Training Dataset 9,354.5103505452474,12.98157548904419,52.21942011515299,27.23311487833659
